ID,City,Latitude,Longitude
94,Juneau,58.362767,-134.529429
95,Kake,56.975833,-133.947222
96,Kaktovik,70.042889,-143.631329
97,Kalskag,61.541006,-160.3261
98,Kaltag,64.330452,-158.724251
99,Karluk,57.57,-154.458333
100,Kasigluk,60.895556,-162.520556
101,Kasilof,60.316365,-151.28958
102,Kenai,60.614467,-151.254556
103,Ketchikan,55.372028,-131.683175
104,Kiana,67.18026,-158.152204
105,King Cove,55.062848,-162.305561
106,King Salmon,58.724264,-156.641603
107,Kipnuk,59.923204,-164.101013
108,Kivalina,67.665859,-163.733617
109,Klawock,55.552611,-133.055503
110,Kobuk,66.912253,-157.066864
111,Kodiak,57.781967,-152.500169
112,Kongiganak,60.9888,-149.4116
113,Kotlik,63.029471,-163.554153
114,Kotzebue,66.846459,-162.126493
115,Koyuk,64.931668,-161.149957
116,Koyukuk,64.883333,-157.7
117,Kwethluk,60.771814,-161.38849
118,Kwigillingok,59.881022,-162.984938
119,Lake Minchumina,63.903884,-152.430081
120,Larsen Bay,57.538333,-153.98
121,Levelock,59.371395,-154.976815
122,Lower Kalskag,61.51377,-160.359966
123,Manley Hot Springs,65.02058,-150.573267
124,Manokotak,59.009559,-158.989699
125,Marshall,61.837087,-161.7394
126,Mc Grath,62.967153,-155.585153
127,Mekoryuk,60.365679,-166.283583
128,Metlakatla,55.121491,-131.579001
129,Meyers Chuck,55.741667,-132.253333
130,Minto,65.058399,-149.691186
131,Moose Pass,60.85852,-149.255911
132,Mountain Village,62.158913,-163.883822
133,Naknek,58.885699,-156.705405
134,Napakiak,60.663758,-161.738144
135,Nenana,64.557656,-149.086744
136,New Stuyahok,59.593533,-157.297205
137,Nightmute,60.479444,-164.723889
138,Nikiski,60.690278,-151.288889
139,Nikolai,63.001603,-154.381247
140,Nikolski,52.988337,-168.788427
141,Ninilchik,60.010833,-151.639604
142,Noatak,66.97553,-160.509453
143,Nome,64.505775,-165.310667
144,Nondalton,60.030837,-154.731675
145,Noorvik,66.836353,-161.044132
146,North Pole,64.78049,-147.369353
147,Northway,62.964167,-141.908611
148,Nuiqsut,70.192737,-150.997119
149,Nulato,64.778024,-157.991353
150,Nunam Iqua,62.509167,-164.453333
151,Nunapitchuk,60.896944,-162.459444
152,Old Harbor,57.202778,-153.303889
153,Ouzinkie,57.925,-152.491667
154,Palmer,61.613814,-149.065323
155,Pedro Bay,59.92238,-153.821856
156,Pelican,57.960833,-136.2275
157,Perryville,55.945289,-159.259333
158,Petersburg,56.827134,-133.160683
159,Pilot Point,57.595193,-157.449272
160,Pilot Station,61.946159,-162.874716
161,Platinum,58.63364,-162.043201
162,Point Baker,56.307858,-133.376372
163,Point Hope,68.312058,-166.72618
164,Point Lay,69.705626,-162.906148
165,Port Alexander,57.05,-135.333333
166,Port Alsworth,60.636416,-154.433803
167,Port Heiden,56.964333,-158.566367
168,Port Lions,57.866667,-152.883333
169,Prudhoe Bay,70.070057,-148.559636
170,Quinhagak,59.738057,-161.874938
171,Rampart,65.383627,-150.011201
172,Red Devil,61.735389,-157.195969
173,Ruby,64.720062,-155.503872
174,Russian Mission,61.591302,-161.558413
175,Saint George Island,56.60324,-169.547257
176,Saint Marys,62.054106,-163.205263
177,Saint Michael,63.47759,-162.109141
178,Saint Paul Island,57.178697,-170.293408
179,Salcha,64.50905,-146.952974
180,Sand Point,55.319236,-160.491435
181,Savoonga,63.679737,-170.470908
182,Scammon Bay,61.845019,-165.581945
183,Selawik,65.713537,-158.534287
184,Seldovia,59.436667,-151.708333
